"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"description_short";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.discussions_open";"metric.reuses";"metric.reuses_by_months";"metric.dataservices";"metric.followers";"metric.followers_by_months";"metric.views";"metric.resources_downloads"
| `isigeo_iduser` |  | `int4` |
| `CREATED_DATE` |  | `date` |
| `CHARGE_A_TRAIT` | Charge traitée en kg de DBO5 en 2015 | `double` |
| `CANTON` |  | `char` |
| `SIRET_MO` | Numéro SIRET du maître d'ouvrage | `char` |
| `QMSB_A_I` | Quantité de boues évacuées de la station en tonne de matière sèche en 2015 vers un centre d'incinération | `double` |
| `LAST_EDITED_DATE` |  | `date` |
| `R_SANDRE` | Code Sandre du réseau | `char` |
| `LIST_INDUSTRIES` | Listes des industries raccordées | `char` |
| `NOM_CO` | Nom du constructeur de la station | `char` |
| `S_C_INSEE` | Numéro INSEE | `char` |
| `CAP_EH` | Capacité nominale en Equivalents Habitants | `double` |
| `MICROBIO` | Existence d'un traitement microbiologique | `char` |
| `S_X` | Coordonnées en m de la station X Lambert 93 | `double` |
| `S_DATE_D_R` | Date de l'arrêté prédectoral | `date` |
| `SY_DATE_DI` | Date du dernier diagnostic réseau (mise à jour janvier 2017) | `char` |
| `EXISTE_R_DIRECT` | Existence de rejets directs de temps sec sur le système de collecte | `char` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/7df9c75932a5482b91bbd8ecec7a18a5).";"";"annual";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:01:51.463000";"2024-11-13T00:00:00";"donnees-ouvertes,eau,environnement-loiret";False;1;1;"zip";"DCAT";"dcat.isogeo.com";"";"2024-11-13T00:00:00";"";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;1;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 1, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2193;182
"61a5158fccea66e0164ed79e";"Etablissements d'enseignement - Ministère de l'Education Nationale - Département du Loiret - 2018";"etablissements-denseignement-ministere-de-leducation-nationale-departement-du-loiret-2018";"";"https://www.data.gouv.fr/datasets/etablissements-denseignement-ministere-de-leducation-nationale-departement-du-loiret-2018";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Adresse et géolocalisation des établissements d'enseignement du premier et second degrés.
La donnée contient la liste géolocalisée des établissements d'enseignement des premier et second degrés, des structures administratives de l'éducation du ministère de l'éducation nationale des secteurs public et privé.
La donnée a été téléchargée sur le site [Data.education.gouv.fr](https://data.education.gouv.fr/explore/dataset/fr-en-adresse-et-geolocalisation-etablissements-premier-et-second-degre/information/?disjunctive.nature_uai&disjunctive.nature_uai_libe&disjunctive.code_departement&disjunctive.code_region&disjunctive.code_academie)
**Contexte de collecte**
Les données ponctuelles ont été mises à jour en septembre 2018.
**Méthode de collecte**
Les informations de localisation des établissements scolaires ont été récupérées sur l'annuaire de l'Education Nationale [à cette adresse](https://data.education.gouv.fr/explore/dataset/fr-en-adresse-et-geolocalisation-etablissements-premier-et-second-degre/information/?disjunctive.nature_uai&disjunctive.nature_uai_libe&disjunctive.code_departement&disjunctive.code_region&disjunctive.code_academie). Les données ont été téléchargées au format shape et avaient pour système de coordonnées le WGS84. Elles ont été reprojetées en Lambert 93 RGF93.
La donnée source concerne la France entière. Pour les besoins du département du Loiret et pour faciliter les traitements, une extraction des établissements scolaires du Loiret ont été retenus et stockés en base de données.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `OBJECTID` |  | `integer` |
| `NUMERO_UAI` |  | `char` |
| `APPELLATION_OFFICIELLE` |  | `char` |
| `DENOMINATION_PRINCIPALE` |  | `char` |
| `PATRONYME_UAI` |  | `char` |
| `SECTEUR_PUBLIC_PRIVE_LIBE` |  | `char` |
| `ADRESSE_UAI` |  | `char` |
| `LIEU_DIT_UAI` |  | `char` |
| `BOITE_POSTALE_UAI` |  | `char` |
| `CODE_POSTAL_UAI` |  | `char` |
| `LOCALITE_ACHEMINEMENT_UAI` |  | `char` |
| `LIBELLE_COMMUNE` |  | `char` |
| `COORDONNEE_X` |  | `double` |
| `COORDONNEE_Y` |  | `double` |
| `EPSG` |  | `char` |
| `LATITUDE` |  | `double` |
| `LONGITUDE` |  | `double` |
| `APPARIEMENT` |  | `char` |
| `LOCALISATION` |  | `char` |
| `NATURE_UAI` |  | `double` |
| `NATURE_UAI_LIBE` |  | `char` |
| `ETAT_ETABLISSEMENT` |  | `double` |
| `ETAT_ETABLISSEMENT_LIBE` |  | `char` |
| `CODE_DEPARTEMENT` |  | `char` |
| `CODE_REGION` |  | `char` |
| `CODE_ACADEMIE` |  | `char` |
| `CODE_COMMUNE` |  | `char` |
| `LIBELLE_DEPARTEMENT` |  | `char` |
| `LIBELLE_REGION` |  | `char` |
| `LIBELLE_ACADEMIE` |  | `char` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/a515892459d54e40bac7f35fb933e50b).";"";"annual";"Licence Ouverte / Open Licence version 2.0";"2018-09-01";"2019-08-31";"";"";False;"2021-11-29T19:01:51.418000";"2021-11-29T19:01:51.418000";"college,ecoles-maternelles,ecoles-primaires,education,enseignement,lycee";"2024-04-13T00:40:10.716000";1;1;"zip";"DCAT";"dcat.isogeo.com";"";"";"";"0.56";0;0;0;0;0;1;0;1577;128
"61a5158fde601f3b6e4ed79d";"Trafic routier - Sections de comptage - Département du Loiret - 2011";"trafic-routier-sections-de-comptage-departement-du-loiret-2011-1";"";"https://www.data.gouv.fr/datasets/trafic-routier-sections-de-comptage-departement-du-loiret-2011-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Les sections homogènes de trafic sur le réseau routier Départemental du Loiret - Édition 2011
**Contexte de collecte**
La connaissance du trafic total à écouler sur une route (tous véhicules confondus) est indispensable pour donner à la voie des caractéristiques géométriques en rapport avec son importance et les vitesses pratiquées, établir des bilans accidentologiques et proposer des aménagements d’itinéraires ou de sécurité. Elle est également indispensable pour calculer la structure de chaussée nécessaire dans le cas de projets de réhabilitation ou d’aménagement, à partir du trafic poids lourd.
**Méthode de collecte**
Le réseau routier départemental a été découpé en sections homogènes de trafic. Outre les stations permanentes, des comptages temporaires sont effectués par les équipes de la D2I chaque année pour compléter la base trafic routier. Annuellement, ce sont près de 500 poses et déposes de compteurs qui ont été effectuées en régie. Dans le but de consolider et de fiabiliser la base trafic routier, il a été décidé de compter au moins une fois toutes les 5 années le trafic de chaque section. La fréquence de comptage est calculée en fonction de critères prédéfinis.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `PR_FIN` |  | `char` |
| `ROUTE` |  | `char` |
| `CATEGORIE` |  | `char` |
| `CUMULF` |  | `integer` |
| `TYPE` |  | `char` |
| `LIEU` |  | `char` |
| `PRD` |  | `integer` |
| `OBJECTID` |  | `integer` |
| `PL` |  | `double` |
| `MJA_PL` |  | `integer` |
| `PR_CPTGE` |  | `char` |
| `OBJECTID_1` |  | `integer` |
| `MJA` |  | `integer` |
| `PR_ORIG` |  | `char` |
| `PRF` |  | `integer` |
| `CUMULD` |  | `integer` |
| `ABF` |  | `integer` |
| `ABD` |  | `integer` |
| `IDROUTE` |  | `char` |
| `st_length(shape)` |  | `double` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/ca109b06fc9b40bfbbb0ff7421fdc070).";"";"annual";"License Not Specified";"2011-01-01";"2011-12-31";"";"";False;"2021-11-29T19:01:51.418000";"2024-11-13T00:00:00";"2011,donnees-ouvertes,infrastructures,mobilite,route,sections-de-comptage,transports";"2025-11-03T00:04:21.887000";1;1;"zip";"DCAT";"dcat.isogeo.com";"";"2024-11-13T00:00:00";"";"0.67";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1442;102
"61a5158f930fccc0394ed79e";"Trafic routier - Points de comptage - Département du Loiret - 2008";"trafic-routier-points-de-comptage-departement-du-loiret-2008-1";"";"https://www.data.gouv.fr/datasets/trafic-routier-points-de-comptage-departement-du-loiret-2008-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Géolocalisation des points de comptage routier permanents et temporaires accompagnés des indicateurs annuels de trafic (TMJA tous véhicules / Part des poids-lourds en pourcentage / TMJA poids-lourds)
**Contexte de collecte**
La connaissance du trafic total à écouler sur une route (tous véhicules confondus) est indispensable pour donner à la voie des caractéristiques géométriques en rapport avec son importance et les vitesses pratiquées, établir des bilans accidentologiques et proposer des aménagements d’itinéraires ou de sécurité. Elle est également indispensable pour calculer la structure de chaussée nécessaire dans le cas de projets de réhabilitation ou d’aménagement, à partir du trafic poids lourd.
**Méthode de collecte**
Le réseau routier départemental a été découpé en sections homogènes de trafic. Outre les stations permanentes, des comptages temporaires sont effectués par les équipes de la D2I chaque année pour compléter la base trafic routier. Annuellement, ce sont près de 500 poses et déposes de compteurs qui ont été effectuées en régie. Dans le but de consolider et de fiabiliser la base trafic routier, il a été décidé de compter au moins une fois toutes les 5 années le trafic de chaque section. La fréquence de comptage est calculée en fonction de critères prédéfinis.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `PR_ORIG` |  | `char` |
| `CATEGORIE` |  | `char` |
| `OBJECTID` |  | `integer` |
| `MJA` |  | `double` |
| `PL` |  | `double` |
| `CUMUL` |  | `double` |
| `ROUTE` |  | `char` |
| `TYPE_DE_PO` |  | `char` |
| `PR_FIN` |  | `char` |
| `PR` |  | `double` |
| `ABS` |  | `double` |
| `LIEU` |  | `char` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/32429eb577134202b7c2f44987155201).";"";"annual";"License Not Specified";"2008-01-01";"2009-01-01";"";"";False;"2021-11-29T19:01:51.414000";"2024-11-13T00:00:00";"2008,donnees-ouvertes,infrastructures,mobilite,points-de-comptage,route,transports";"2025-11-03T00:04:22.243000";1;1;"zip";"DCAT";"dcat.isogeo.com";"";"2024-11-13T00:00:00";"";"0.67";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2073;150
"61a5158f84b460c93c4ed79e";"Trafic routier - Sections de comptage - Département du Loiret - 2019";"trafic-routier-sections-de-comptage-departement-du-loiret-2019-1";"";"https://www.data.gouv.fr/datasets/trafic-routier-sections-de-comptage-departement-du-loiret-2019-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Géolocalisation des sections homogènes de trafic sur le réseau routier Départemental du Loiret accompagnés des indicateurs annuels de trafic (TMJA tous véhicules / Part des poids-lourds en pourcentage / TMJA poids-lourds) - Édition 2019
**Contexte de collecte**
La connaissance du trafic total à écouler sur une route (tous véhicules confondus) est indispensable pour donner à la voie des caractéristiques géométriques en rapport avec son importance et les vitesses pratiquées, établir des bilans accidentologiques et proposer des aménagements d’itinéraires ou de sécurité. Elle est également indispensable pour calculer la structure de chaussée nécessaire dans le cas de projets de réhabilitation ou d’aménagement, à partir du trafic poids lourd.
**Méthode de collecte**
Le réseau routier départemental a été découpé en sections homogènes de trafic. Outre les stations permanentes, des comptages temporaires sont effectués par les équipes de la DI chaque année pour compléter la base trafic routier. Annuellement, ce sont près de 500 poses et déposes de compteurs qui ont été effectuées en régie. Dans le but de consolider et de fiabiliser la base trafic routier, il a été décidé de compter au moins une fois toutes les 5 années le trafic de chaque section. La fréquence de comptage est calculée en fonction de critères prédéfinis.
Pour les points de comptage permanent du trafic (110 équipements), le recueil et l'exploitation des données peuvent être effectués avec des pas horaires, la discrimination des véhicules est effective sur tous ces sites (restitution TV/PL ou VL/PL).
On peut caractériser les postes de comptage permanent du trafic par le type de données disponibles:
. 68 postes sont en capacité de restituer des données de type débit avec une discrimination des véhicules suivant la longueur.
. 42 postes sont en capacité de restituer des données de type débit + vitesse avec une discrimination des véhicules suivant la longueur.
Sur ces 42 derniers équipements, une visualisation/recueil des données en temps réel est à priori possible, par contre cela suppose une connexion RTC ou GSM permanente pour chaque équipement.
Ainsi la congestion routière peut être visualiser/analyser sur ces points du réseau.
Une procédure de recueil des données automatique à intervalle régulier peut aussi être mise en place afin d'éviter une occupation permanente des lignes RTC ou GSM.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `OBJECTID` |  | `integer` |
| `ROUTE` | Nom de la route (nom court) | `char` |
| `PRD` | PR Début | `double` |
| `ABD` | Abscisse de début du tronçon | `double` |
| `PRF` | PR Fin | `double` |
| `ABF` | Abscisse de fin du tronçon | `double` |
| `CUMULD` | Cumul de début du tronçon | `double` |
| `CUMULF` | Cumul de fin du tronçon | `double` |
| `IDROUTE` | Nom de la route (nom long) | `char` |
| `PR_CPTGE` | PR+ABS du point de comptage | `char` |
| `PR_ORIG` | PR+ABS Début de la section de comptage | `char` |
| `PR_FIN` | PR+ABS Fin de la section de comptage | `char` |
| `LIEU` | Nom du lieu de la section de comptage | `char` |
| `TYPE` | Type de poste de comptage routier | `char` |
| `MJA` | Moyenne Journalière Annuelle Tous Véhicules | `double` |
| `PL` | Pourcentage de Poids Lourds sur la section | `double` |
| `MJA_PL` | Moyenne Journalière Annuelle Poids Lourds | `double` |
| `CPTGE_YEAR` | Année du comptage | `double` |
| `VALUE_TYPE` |  | `char` |
| `CATEGORIE` | Catégorie de réseau | `double` |
| `FORME_LENGTH` |  | `double` |
| `st_length(shape)` |  | `double` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/e1f12930a5094f9da5dacdcdec1aac8f).";"";"annual";"Licence Ouverte / Open Licence version 2.0";"2019-01-01";"2019-12-31";"";"";False;"2021-11-29T19:01:51.414000";"2024-11-13T00:00:00";"2019,donnees-ouvertes,infrastructures,mobilite,route,sections-de-comptage,transports";"2025-11-03T00:04:22.785000";3;3;"zip,pdf";"DCAT";"dcat.isogeo.com";"";"2024-11-13T00:00:00";"";"0.67";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1554;431
"61a5158fb8b9b1b0e24ed79e";"Itinéraires de petites randonnées du PDIPR - Département du Loiret";"itineraires-de-petites-randonnees-du-pdipr-departement-du-loiret-1";"";"https://www.data.gouv.fr/datasets/itineraires-de-petites-randonnees-du-pdipr-departement-du-loiret-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"La donnée contient les tracés des itinéraires de petites randonnées du PDIPR.
**Contexte de collecte**
La donnée est composée des petites randonnées de 16 cantons servant à la mise à jour du PDIPR ou Plan Départemental des Itinéraires de Promenade et de Randonnées.
**Méthode de collecte**
Les données ont été créées par le bureau d'études TRACES TPI. Aucune information complémentaire n'a été fournie par le bureau d'études concernant la méthode de création de la donnée. Cette couche sert de support pour recréer les itinéraires de randonnées à partir des tronçons routiers de la BDTOPO© de l'IGN.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `ITINERAIRE` | Nom de l'itinéraire | `char` |
| `OBJECTID` |  | `integer` |
| `st_length(shape)` |  | `double` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/475640b269fe4cd58cb2ac445b2777ff).";"";"unknown";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:01:51.396000";"2024-11-13T00:00:00";"donnees-ouvertes,environnement-loiret,infrastructures,mobilite,route,transports";False;1;1;"zip";"DCAT";"dcat.isogeo.com";"";"2024-11-13T00:00:00";"";"0.44";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2346;197
"61a5158ff0f2e393784ed79e";"Limites des agences territoriales routières du Loiret - Département du Loiret";"limites-des-agences-territoriales-routieres-du-loiret-departement-du-loiret-1";"";"https://www.data.gouv.fr/datasets/limites-des-agences-territoriales-routieres-du-loiret-departement-du-loiret-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Cette donnée contient les limites administratives des 4 agences territoriales routières du département du Loiret : Orléans, Sully-sur-Loire, Montargis et Pithiviers.
**Contexte de collecte**
Historiquement, les limites des agences territoriales routières ont été pensés suite aux lois de décentralisation de 1982, où les conseils départementaux ont progressivement repris la gestion directe des personnels qui, au sein des DDE, assuraient les missions qui relèvent de leurs compétences, notamment la voirie départementale.
**Méthode de collecte**
La donnée a été créée à partir de la couche Communes de la BD TOPO®. Les communes ont été agrégées pour obtenir le contour de chaque agence routière territoriale.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `VILLE` | Commune | `char` |
| `CONTACT_CMPLT_ADRESSE` | Complément d'adresse | `char` |
| `OBJECTID` |  | `integer` |
| `CONTACT_COURRIEL_URGENCE` | Courriel Urgence | `char` |
| `CONTACT_TEL_URGENCE` | Téléphone Urgence | `char` |
| `LOCALISANT` | Localisant | `char` |
| `ADRESSE` | Adresse | `char` |
| `CONTACT_COURRIEL` | Courriel de contact | `char` |
| `TELEPHONE` | Téléphone | `char` |
| `SITE` | Nom de l'agence territoriale | `char` |
| `FAX` | Fax | `char` |
| `CODE_POSTAL` | Code postal | `char` |
| `st_area(shape)` |  | `double` |
| `st_length(shape)` |  | `double` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/886ed9417da4423b960044268ffdfc14).";"";"unknown";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:01:51.351000";"2024-11-13T00:00:00";"donnees-ouvertes,infrastructures,limites-de-territoire,route,secteur,transports";False;1;1;"zip";"DCAT";"dcat.isogeo.com";"";"2024-11-13T00:00:00";"";"0.44";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2320;154
"61a5158fee19390a814ed79e";"Budget primitif - Département du Loiret - 2015";"budget-primitif-departement-du-loiret-2015-1";"";"https://www.data.gouv.fr/datasets/budget-primitif-departement-du-loiret-2015-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Le jeu de données contient le budget primitif annuel du Département du Loiret pour l'année 2015.
Le budget primitif couvre :
* les recettes
* les dépenses prévisionnelles du Département pour l'année 2015.
Le jeu de données est accessible en cliquant sur ""Télécharger"".
### Au service des territoires et de leurs habitants
Le Loiret a fait le choix de la stabilité fiscale et du respect d'une stricte discipline budgétaire.
En 2015, il préserve un budget ambitieux pour le territoire et les Loirétains, rendu notamment possible par l'effort de maîtrise budgétaire entrepris par lui et ses partenaires.
Le budget est téléchargeable sous forme de fichier, afin de permettre aux citoyens de se l’approprier et de mettre en perspective la situation du Loiret avec celle d'autres Départements.
![Image budget 2016](http://www.loiret.fr/medias/photo/budget-v2_1434034398682-png ""Répartition budget 2015"")
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/072a68c393354bd7b2aa0e88c1a38244).";"";"";"License Not Specified";"";"";"";"";False;"2021-11-29T19:01:51.281000";"2021-11-29T19:01:51.281000";"2015,budget,donnees-ouvertes";"2022-01-13T01:11:03.412000";1;1;"";"";"dcat.isogeo.com";"";"";"";"0.33";0;0;0;0;0;0;0;171;""
"61a5158fb894fbbbfc4ed79e";"Les équipements dynamiques (trafic routier et météorologie) - Département du Loiret";"les-equipements-dynamiques-trafic-routier-et-meteorologie-departement-du-loiret-1";"";"https://www.data.gouv.fr/datasets/les-equipements-dynamiques-trafic-routier-et-meteorologie-departement-du-loiret-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Géolocalisation des équipements dynamiques (station permanente de comptage du trafic routier et station météorologique routière) sur le réseau routier du Département du Loiret
**Contexte de collecte**
Les données du trafic routier et les données météorologiques sont primordiales pour prendre des décisions de gestion et d'exploitation routière.
Les différents équipements dynamiques (station permanente de comptage du trafic routier et station météorologique) utilisés pour le recueil de ces données, sont ainsi localisés en Route + PR + Abscisse.
Chaque équipement est caractérisé par divers attributs techniques, historiques, de localisation, ...
**Méthode de collecte**
Les sources utilisées pour la constitution et la mise à jour sont la BD Topo®, le référentiel routier du Département du Loiret, les caractéristiques des différents équipements et leurs évolutions.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `AGENCE` | Nom de l'agence territoriale | `char` |
| `PONT` | Equipement situé sur un pont | `char` |
| `CE_2010_05` | Contrôle électrique mai 2010 | `char` |
| `NUM_SECTION` | Numéro de la section routière de l'équipement | `char` |
| `FOURNISSEUR_ENERGIE` | Nom du fournisseur d'énergie | `char` |
| `IDENT_CARTO` | Identifiant cartographique | `char` |
| `COMMUNE` | Commune de l'équipement | `char` |
| `LOCAL_STATION` | Précision de localisation de l'équipement | `char` |
| `TELEPHONE` | Numéro de téléphone | `char` |
| `CUMUL` | Cumul de l'équipement | `integer` |
| `TYPE_2` | Prestataire / fournisseur du matériel | `char` |
| `CE_2014_09` | Contrôle électrique septembre 2014 | `char` |
| `IDENT_POSTE` | Identifiant équipement | `char` |
| `TYPE_DONNEE` | Type de données recueillies | `char` |
| `CE_2008_05` | Contrôle électrique mai 2008 | `char` |
| `CODE_INSEE_NUM` | Code INSEE de l'équipement | `char` |
| `ABS` | Abscisse de l'équipement | `integer` |
| `TYPE_1` | Type de protocole / Norme ou type de matériel | `char` |
| `CANTON` | Canton de l'équipement | `char` |
| `SUBMERSIBLE` | Submersibilité de l'équipement | `char` |
| `GESTION` | Gestionnaire de l'équipement | `char` |
| `LIM_VITESSE` | Limitation de vitesse réglementaire | `char` |
| `PR` | Point repère de l'équipement | `integer` |
| `LG_CABLE_NRJ_CD45` | Longueur de câble en mètre | `char` |
| `ENERGIE` | Type d'énergie | `char` |
| `NUM_INDICE` | Numéro de l'indice de la section routière de l'équipement | `char` |
| `STATUT` |  | `char` |
| `ROUTE` | Nom de la route (nom court) | `char` |
| `OBJECTID` |  | `integer` |
| `BOUCLES` |  | `char` |
| `BASE` |  | `char` |
| `LIAISON` |  | `char` |
| `POSITIONXY` |  | `char` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/1742fb942d7b4756b9778c3b3cbc992e/HWglEr-z4Bry_rKQOTINX9gAH4Yu0/r/a38b471eb30c4d04bd855847258af040).";"";"annual";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:01:51.181000";"2022-12-05T00:00:00";"donnees-ouvertes,infrastructures,mobilite,route,transports";False;1;1;"zip";"DCAT";"dcat.isogeo.com";"";"2022-12-05T00:00:00";"";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";3476;207
"61a5158f84b460c93c4ed79d";"Secteurs des Maisons Du Département du Loiret";"secteurs-des-maisons-du-departement-du-loiret-1";"";"https://www.data.gouv.fr/datasets/secteurs-des-maisons-du-departement-du-loiret-1";"Département du Loiret";"57d90ef4c751df44fb79df72";"";"";"Découpage du département du Loiret en 7 secteurs géographiques sociales.
Secteurs d'intervention des Maisons du Département
**Contexte de collecte**
Découpage du département du Loiret en 7 secteurs géographiques sociales.
Il existe 7 Secteurs gérés par 7 Maisons Du Département (Orléans Nord, Orléans Sud, Gien, Jargeau, Pithiviers, Montargis et Meung sur Loire). Ces 7 MDD sont gérées par la Direction des services aux habitants dans les territoires.
**Méthode de collecte**
Ces MDD ont été découpées en lien avec le découpage cantonal du département.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `MAIL` | Courriel | `char` |
| `HORAIRES` | Horaires d'ouverture | `char` |
| `OBJECTID` |  | `integer` |
| `NOM_MDD` | Nom | `char` |
| `ADRESSE` | Adresse | `char` |
| `CODE_POSTAL` | Code postal | `char` |
| `NOMMDD` | Nom complet littéral de la MDD | `char` |
| `TELEPHONE` | Téléphone | `char` |
| `CODE_MDD` | Identifiant de la MDD | `char` |
| `VILLE` | Ville | `char` |
| `CREATED_USER` |  | `char` |
| `CREATED_DATE` |  | `date` |
| `LAST_EDITED_USER` |  | `char` |
| `LAST_EDITED_DATE` |  | `date` |
| `st_area(shape)` |  | `double` |
